"T-SHIRT	61051000	CN	1	0.9"
"PANTS	62034259	BD	5	4.5"
"ACCESSORIES	61112010	CN	1	0.9"
"SET	63079010	CN	10	9"
"ACCESSORIES	63026000	IN	17	15.3"
"CAP	64052099	IN	4	3.6"
"SHIRT	62099090	IN	4	3.6"
"SKIRT	62093000	IN	30	27"
"PANTS	61034900	BD	3	2.7"
"BATHROBE	62089100	CN	1	0.9"
"JACKET	62029300	BD	15	13.5"
"ACCESSORIES	61178080	IN	8	7.2"
"SET	61178010	CN	22	19.8"
"SET	96151100	CN	1	0.9"
"T-SHIRT	61143000	MM	6	5.4"
"LEGGINGS	61046300	VN	1	0.9"
"SET	61042300	IN	9	8.1"
"SET	61032300	IN	1	0.9"
"JACKET	62033300	CN	1	0.9"
"SORTS	62111100	BD	15	13.5"
"BATHROBE	61089200	CN	1	0.9"
"PANTS	61130090	CN	3	2.7"
"JACKET	62019200	MM	1	0.9"
"JACKET	62011390	CN	2	1.8"
"JACKET	62011310	CN	4	3.6"
"JACKET	62011210	CN	1	0.9"
"PANTS	62046318	MM	5	4.5"
"PANTS	62034233	BD	4	3.6"
"PANTS	62093000	BD	7	6.3"
"JACKET	62092000	MM	2	1.8"
"JACKET	62105000	MM	20	18"
"DRESS	61044300	IN	29	26.1"
"BEACHWEAR	61123190	CN	79	71.1"
"JACKET	62013010	BD	4	3.6"
"JACKET	62013010	PK	4	3.6"
"T-SHIRT	61099000	KH	3	2.7"
"SHOES	64059090	HK	1	0.9"
"SHOES	64052099	HK	1	0.9"
"JACKET	61043300	CN	3	2.7"
"SOCKS	61113090	IT	41	36.9"
"DRESS	61044300	BD	28	25.2"
"DRESS	62114290	BD	16	14.4"
"SHIRT	62114290	CN	1	0.9"
"T-SHIRT	61069050	CN	5	4.5"
"T-SHIRT	61062000	TR	4	3.6"
"SHOES	64039996	ES	1	0.9"
"SHOES	64029931	CN	17	15.3"
"T-SHIRT	62064000	TR	13	11.7"
"T-SHIRT	61099000	IN	1	0.9"
"SHOES	64029900	CN	4	3.6"
"SORTS	62099090	IT	1	0.9"
"PANTS	62034200	TR	3	2.7"
"SORTS	62034200	KH	4	3.6"
"SORTS	62046200	IT	1	0.9"
"T-SHIRT	62114200	IN	3	2.7"
"T-SHIRT	61103000	CN	5	4.5"
"T-SHIRT	61099000	TR	8	7.2"
"T-SHIRT	61099000	CN	16	14.4"
"JACKET	62029300	CN	9	8.1"
"T-SHIRT	61091000	KH	28	25.2"
"SCARF	62144000	CN	37	33.3"
"SCARF	62149000	CN	16	14.4"
"SORTS	62046900	CN	16	14.4"
"CAP	65050000	CN	18	16.2"
"T-SHIRT	61099000	TN	3	2.7"
"SKIRT	62092000	CN	2	1.8"
"SORTS	62046200	CN	32	28.8"
"T-SHIRT	61112000	IN	22	19.8"
"T-SHIRT	61112000	CN	1	0.9"
"SKIRT	62045300	CN	37	33.3"
"SORTS	62046290	IN	52	46.8"
"SKIRT	62045300	IT	9	8.1"
"UNDERWEAR	61082200	MM	2	1.8"
"DRESS	61143000	BD	17	15.3"
"DRESS	62044200	BD	8	7.2"
"DRESS	62044200	IN	101	90.9"
"DRESS	61044200	CN	23	20.7"
"DRESS	62044300	VN	16	14.4"
"T-SHIRT	61062000	KH	40	36"
"BAG	46021990	IN	1	0.9"
"BAG	42022290	IN	6	5.4"
"WALLET	42023290	CN	4	3.6"
"SORTS	61034200	TR	11	9.9"
"SORTS	62046390	CN	43	38.7"
"SORTS	62046390	VN	22	19.8"
"SORTS	62046950	CN	5	4.5"
"SORTS	62046950	BD	2	1.8"
"SKIRT	62045910	VN	3	2.7"
"NIGHTWEAR	61072200	CN	54	48.6"
"NIGHTWEAR	61083100	CN	1	0.9"
"PANTS	62034231	CN	49	44.1"
"DRESS	61102010	MM	9	8.1"
"JACKET	62011310	MM	7	6.3"
"JACKET	61013090	CN	2	1.8"
"SHOES	64059090	CN	47	42.3"
"SWEATER	61103099	TR	14	12.6"
"PANTS	62046231	CN	12	10.8"
"SHIRT	62052000	KH	2	1.8"
"DRESS	62114390	IN	36	32.4"
"SHOES	64041100	CN	126	113.4"
"PANTS	61046200	TR	28	25.2"
"T-SHIRT	61091000	VN	15	13.5"
"PANTS	62046259	BD	58	52.2"
"PANTS	62034200	BD	38	34.2"
"CAP	65069990	CN	8	7.2"
"T-SHIRT	61052010	BD	5	4.5"
"COAT	61023010	VN	1	0.9"
"T-SHIRT	61062000	IT	5	4.5"
"BEACHWEAR	61124190	VN	1	0.9"
"BEACHWEAR	61124100	CN	77	69.3"
"SKIRT	62045300	IN	104	93.6"
"BEACHWEAR	61124100	VN	20	18"
"JACKET	61023090	CN	14	12.6"
"SHIRT	62063000	BD	88	79.2"
"JACKET	61102000	BD	3	2.7"
"JACKET	62043919	KH	1	0.9"
"T-SHIRT	61091000	CN	194	174.6"
"SET	61042300	BD	5	4.5"
"JACKET	62043390	CN	29	26.1"
"SET	62032280	BD	4	3.6"
"SET	96151900	CN	10	9"
"JACKET	62019300	MM	27	24.3"
"T-SHIRT	61103010	IN	1	0.9"
"SET	61032200	IN	43	38.7"
